party,TTL_RECEIPTS,candidatevotes,spending_per_vote
ALLIANCE,9170004.19,26340,348.139870539104
AMERICAN CONSTITUTION PARTY,5234085.52,67822,77.17385980950134
AMERICAN VALUES,11073440.55,6180,1791.8188592233012
CANNON FIRE,2237513.15,3852,580.8704958463136
COLORADO CENTER PARTY,9169601.049999999,12494,733.9203657755722
CONSERVATIVE,154461093.85,2252730,68.56618141099909
CONSTITUTION,36765116.77,315879,116.3898732426024
DEMOCRAT,2214453045.5,341250110,6.489237602003996
DEMOCRATIC,51592112.94,99010,521.0798196141803
DEMOCRATIC-FARMER-LABOR,16375385.93,3597195,4.552265287258544
FOR THE PEOPLE,2237513.15,20058,111.55215624688404
GOD SAVE AMERICA,12178027.46,8928,1364.0263732078854
GRASSROOTS-LEGALIZE CANNABIS,6674943.39,74145,90.02553631397936
GREEN,9537436.99,253908,37.56256986782614
INDEPENDENT,266836343.48,3395975,78.57429559404883
INDEPENDENT AMERICAN,5184733.47,49374,105.00938692429213
INDEPENDENT-MODERATE,8908878.16,65868,135.25350944312868
ITKIS CAMPAIGN,10458632.35,5048,2071.83683637084
JOBS AND JUSTICE,1838471.6,5967,308.10651918887214
LABOUR PARTY,2664616.29,2000,1332.308145
LEGAL MARIJUANA NOW,21499430.55,293201,73.32659353139996
LIBERTARIAN,434259274.52,4971950,87.34184264121723
LIBERTY CAUCUS,3005119.33,24140,124.48713048881525
MEDICAL FREEDOM,16160487.370000001,26323,613.930303156935
MOVE EVERYONE FORWARD,3851651.76,3204,1202.1385018726592
NEW JERSEY FIRST,3851651.76,5682,677.8690179514255
NO PARTY AFFILIATION,190298143.85,734034,259.24976751758095
NO SLOGAN FILED,1968394.04,8145,241.6690042971148
NON-PARTISAN DELAWARE,5121542.51,17622,290.6334417205765
NONE,9717075.83,504,19279.91236111111
NOT FOR SALE,3911614.25,8280,472.4171799516908
OTHER,2664616.29,3570,746.3911176470589
PACIFIC GREEN,8115984.0600000005,48264,168.15813152660368
PARENT,10458632.35,3712,2817.519490840517
PROGRESS WITH PAM,1968394.04,3933,500.48157640478007
PROGRESSIVE,1379386.33,32946,41.86809718934013
REPUBLICAN,2259339544.35,358498022,6.302237127405964
SOCIALIST WORKERS,6464006.5,61900,104.42659935379645
THE GOING AWAY PARTY,4486479.98,13482,332.7755511051773
THE MAHALI PARTY,1838471.6,1143,1608.4615923009624
TOGETHER WE STAND,11073440.55,7000,1581.9200785714286
TRUTH AND MERIT,2664616.29,1230,2166.354707317073
U.S. TAXPAYERS,16592068.96,65928,251.66953282368647
UNAFFILIATED,64782781.68,3278,19762.898621110435
UNITED UTAH,5739468.42,211518,27.13465719229569
UNITY PARTY OF COLORADO,9713084.27,26152,371.4088509483022
WE THE PEOPLE,1968394.04,10773,182.71549614777686
WORKING CLASS,49391345.0,402748,122.63585418177124
WORKING FAMILIES,88857075.87,925930,95.96521969263335
